_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,gender,hunter_type,num_slots
1310721,Head,1,25,0,0,0,0,0,0,2,1
1310722,Head,2,26,0,1,0,0,0,0,2,3
1310723,Head,2,26,0,0,0,1,0,2,2,1
1310724,Head,2,26,1,0,0,0,0,2,0,1
1310725,Head,1,25,2,0,0,0,0,2,1,1
1310726,Head,2,26,-1,0,0,0,2,2,2,2
1310727,Head,2,26,0,1,0,0,0,0,2,1
1310729,Head,6,30,0,0,0,0,0,0,0,0
1310730,Head,3,27,0,0,0,0,0,0,1,0
1310731,Head,6,30,0,0,0,0,-1,0,0,1
1310732,Head,3,27,0,0,0,0,-1,0,1,1
1310735,Head,6,30,2,0,0,-2,0,2,0,1
1310736,Head,3,27,2,0,0,-2,0,2,1,1
1310743,Head,6,30,-2,0,0,0,0,0,0,0
1310744,Head,3,27,-2,0,0,0,0,0,1,0
1310745,Head,8,32,-2,0,0,0,0,2,0,1
1310746,Head,4,28,-2,1,1,1,1,2,1,1
1310747,Head,8,32,0,0,0,0,-2,0,0,1
1310748,Head,4,28,0,1,0,1,-2,0,1,1
1310749,Head,8,32,0,-1,0,0,2,2,0,0
1310750,Head,4,28,0,-1,0,0,3,2,1,0
1310751,Head,10,34,0,1,0,0,-2,0,0,2
1310752,Head,5,29,1,2,0,0,-2,0,1,2
1310753,Head,10,34,-2,1,2,1,1,0,0,2
1310754,Head,5,29,-2,2,3,2,2,0,1,2
1310755,Head,10,34,-1,-1,4,-1,-1,2,0,1
1310756,Head,5,29,-1,-1,6,-1,-1,2,1,1
1310757,Head,10,34,-2,0,2,0,0,0,0,1
1310758,Head,5,29,-2,1,3,1,1,0,1,1
1310759,Head,12,36,0,1,1,1,1,0,0,2
1310760,Head,6,30,0,2,2,2,2,0,1,2
1310761,Head,5,29,0,0,0,0,0,2,2,1
1310762,Head,12,36,2,0,0,0,-2,0,0,0
1310763,Head,6,30,3,0,0,0,-2,0,1,0
1310764,Head,12,36,0,-2,0,2,1,2,0,1
1310765,Head,6,30,0,-2,0,3,1,2,1,1
1310766,Head,8,32,0,-2,0,4,0,2,2,0
1310767,Head,14,38,-2,-2,0,0,0,0,0,2
1310768,Head,7,31,-2,-2,0,0,0,0,1,2
1310769,Head,14,38,2,0,0,0,-3,0,0,1
1310770,Head,7,31,2,0,0,0,-3,0,1,1
1310771,Head,8,28,0,0,0,0,0,0,2,2
1310772,Head,12,32,-1,-1,0,0,-1,0,0,0
1310773,Head,6,26,-1,-1,0,0,-1,0,1,0
1310774,Head,12,32,1,-1,0,-1,0,0,0,1
1310775,Head,6,26,2,-1,0,-1,0,0,1,1
1310776,Head,14,34,-1,1,0,-1,0,0,0,1
1310777,Head,7,27,-1,2,0,-1,0,0,1,1
1310778,Head,14,34,0,2,0,-1,-1,0,0,1
1310779,Head,7,27,0,3,0,-1,-1,0,1,0
1310782,Head,12,32,0,1,0,1,0,2,0,1
1310783,Head,6,26,0,1,0,1,0,2,1,1
1310784,Head,14,34,1,-2,0,2,0,2,0,1
1310785,Head,7,27,1,-2,0,3,0,2,1,1
1310786,Head,12,32,3,0,0,1,2,2,0,1
1310787,Head,6,26,4,0,0,1,3,2,1,1
1310788,Head,18,38,2,2,3,-2,-2,0,0,1
1310789,Head,9,29,3,2,4,-2,-2,0,1,1
1310790,Head,18,38,2,2,3,-2,-2,0,0,1
1310791,Head,9,29,3,2,4,-2,-2,0,1,1
1310792,Head,16,36,2,1,0,1,-1,2,0,0
