_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_ja,description,description_de,description_fr,description_es,description_it,description_ja
1,1,10,Negate Poison,Gift aufheben,Antidote,Anula veneno,Annulla-veleno,,Weakens the effects of Deadly Poison and completely prevents lesser Poisons.,Schwächt die Effekte von Töd- lichem Gift und hebt weniger wirksame Gifte komplett auf.,Protège contre le poison mortel et immunise complétement contre les poisons mineurs.,Reduce el efecto del veneno mortal y anula totalmente otros venenos menores.,Protegge dal veleno letale e rende del tutto invulnerabili ai veleni meno potenti.,
2,1,-10,Double Poison,Doppeltes Gift,Venin,Doble veneno,Veleno [x2],,Doubles the damage received from Poison.,Verdoppelt den durch Gift erlittenen Schaden.,Double les dégâts infligés par le poison.,Duplica el daño recibido por veneno.,Raddoppia i danni arrecati dal veleno.,
3,2,10,Negate Paralysis,Lähmung aufheben,Anti-paralysie,Anula parálisis,Annulla-paralisi,,Prevents Paralysis.,Verhindert Lähmung.,Empêche la paralysie.,Previene la parálisis.,Previene gli effetti della paralisi.,
4,2,-10,Double Paralysis,Doppelte Lähmung,Super paralysie,Doble parálisis,Paralisi [x2],,Doubles the duration of Paralysis.,Verdoppelt die Dauer der Lähmung.,Double la durée de la paralysie.,Dobla la duración de la parálisis.,Raddoppia la durata della paralisi.,
5,3,10,Negate Sleep,Schlaf aufheben,Insomnie,Anula sueño,Annulla-sonno,,Prevents Sleep.,Verhindert Schlaf.,Empêche le sommeil.,Previene el sueño.,Previene gli effetti del sonno.,
6,3,-10,Double Sleep,Doppelter Schlaf,Hypersomnie,Doble sueño,Sonno [x2],,Doubles the duration of Sleep.,Verdoppelt die Dauer von Schlaf.,Double la durée du sommeil.,Dobla la duración del sueño.,Raddoppia la durata del sonno.,
7,4,15,Negate Stun,Betäuben aufheben,Crâne de fer,Anula aturdimiento,Annulla-stordim.,,Prevents Stun.,Verhindert Betäubung.,Empêche d'être étourdi.,Previene el aturdimiento.,Previene gli effetti dello stordimento.,
8,4,10,Halve Stun,Halbes Betäuben,Crâne de pierre,Mitad aturdimiento,Stordimento 1/2,,Reduces the likelihood of being Stunned by 50%.,Verringert die Wahrschein- lichkeit einer Betäubung um 50%.,Réduit de 50 % la probabilité d'être étourdi.,Reduce la probabilidad de ser aturdido un 50%.,Riduce del 50% la probabilità di subire uno stordimento.,
9,4,-10,Double Stun,Dopp. Betäuben,Menton de verre,Doble aturdimiento,Stordimento [x2],,Makes it harder to recover from being Stunned.,"Macht es schwieriger, sich von einer Betäubung zu erholen.",Rend la récupération suite à un étourdissement plus difficile.,Dificulta la recuperación tras ser aturdido.,Rende più difficile riprendersi dallo stordimento.,
10,5,15,HG Earplugs,Ohrstöpsel +,Bouche-oreilles,Tapones +2,Tappi orecchie+,,Negates the effects of all large monsters' roars.,Hebt die Wirkung des Gebrülls aller großen Monster auf.,Annule les effets des rugissements de tous les grands monstres.,Anula el efecto de todos los rugidos de monstruos grandes.,Annulla gli effetti dei ruggiti di tutti i mostri grandi.,
11,5,10,Earplugs,Ohrstöpsel,Protège-tympans,Tapones +1,Tappi orecchie,,Negates the effects of some large monsters' roars.,Hebt die Wirkung des Gebrülls mancher großer Monster auf.,Annule les effets des rugissements de certains grands monstres.,Anula el efecto del rugido de algunos monstruos grandes.,Annulla gli effetti dei ruggiti di alcuni mostri grandi.,
12,6,15,Windproof (Hi),Windsicher +2,Vent +2,Resist. viento +2,Vento +2,,Negates Wind Pressure from almost all monsters.,Hebt den Winddruck von fast allen Monstern auf.,Annule les effets de bourrasque de presque tous les monstres.,Anula la presión del viento de casi todos los monstruos.,Annulla la pressione del vento da gran parte dei mostri.,
13,6,10,Windproof (Lo),Windsicher +1,Vent +1,Resist. viento +1,Vento +1,,Lessens almost all Wind Pressure.,Senkt den Winddruck fast gänzlich.,Réduit les effets de bourrasque de presque tous les monstres.,Reduce casi toda la presión del viento.,Riduce quasi completamente la pressione del vento.,
14,7,10,Tremor Res,Bebenabwehr,Anti-séisme,Resist. temblores,Antisismico,,Prevents staggering from tremors created by large monsters.,"Verhindert das Schwanken durch Beben, die von großen Monstern verursacht werden.",Empêche de vaciller à cause des secousses créées par les grands monstres.,Impide que los temblores provocados por monstruos grandes te hagan tambalear.,Annulla gli effetti delle vibrazioni causate dai mostri grandi.,
15,8,10,Negate Bind,Binden aufheben,Dégagement,Anula inmovilizac.,Annulla-vincolo,,Negates the effects of Bind statuses such as Snowman and bubbles that impede movement.,"Hebt die Wirkung von bindenden, einschränkenden Statuseffekten wie Schneemann und Blasen auf.","Annule les effets d'entrave (bonhomme de neige, bulles, etc.).",Anula los efectos de estados de atrapamiento como muñeco de nieve y burbujas.,"Annulla gli status che limitano il movimento, come effetti della neve e bolla.",
16,9,10,Heat Cancel,Hitze aufheben,Chaleur +,Anula el calor,Annulla-calore,,Negates the damage incurred from heat and lava.,Hebt den Schaden durch Lava und Hitze auf.,Annule les dégâts infligés par la chaleur et la lave.,Anula el daño provocado por calor y lava.,Annulla i danni causati da calore e lava.,
17,9,-10,Heat Surge,Hitze erhöhen,Chaleur -,Aumentar calor,Aumenta-calore,,Increases the amount of Health lost due to heat.,Steigert den Gesundheits- verlust durch Hitze.,Augmente la quantité de vie perdue sous l'effet de la chaleur.,Incrementa la salud que se pierde debido a calor.,Aumenta la riduzione di vita dovuta al calore.,
18,10,10,Cold Cancel,Kälte aufheben,Froid +,Anula el frío,Annulla-freddo,,Negates all cold.,Macht die gesamte Kälte unwirksam.,Annule les dégâts subis par le froid.,Anula todo el frío.,Annulla del tutto il freddo.,
19,10,-10,Cold Surge,Kälte erhöhen,Froid -,Aumentar frío,Aumenta-freddo,,Increases the speed at which your maximum Stamina depletes from cold.,Lässt deine maximale Ausdauer bei Kälte schneller absinken.,La jauge de stamina diminue plus vite à cause du froid.,Aumenta la velocidad a la que se agota la resistencia máxima por frío.,Aumenta la velocità di riduzione della resistenza massima a causa del freddo.,
20,11,10,Polar Hunter,Polarjäger,Chasseur polaire,Cazador polar,Caccia polare,,Powers you up in the cold. If you drink a Cool Drink...,Gibt Kraftbonus in kalten Gegenden. Wenn du ein Kaltgetränk trinkst...,Vous donne un coup de fouet face au froid. Si vous buvez une boisson fraîche...,Da energía en climas fríos. Si tomas una bebida fría...,Diventi più forte nelle regioni fredde. Se consumi una bevanda fresca...,
21,12,10,Tropic Hunter,Tropenjäger,Chasseur tropical,Cazador tropical,Caccia tropicale,,Powers you up in the heat. If you drink a Hot Drink...,Gibt Kraftbonus in warmen Gegenden. Wenn du ein Heißgetränk trinkst...,Vous donne un coup de fouet face au chaud. Si vous buvez une boisson chaude...,Da energía en climas áridos. Si tomas una bebida caliente...,Diventi più forte nelle regioni calde. Se consumi una bevanda calda...,
22,13,10,Anti-Theft,Anti-Dieb,Antivol,Antirrobo,Anti-ladro,,Prevents item theft.,Verhindert den Diebstahl von Objekten.,Empêche le vol d'objets.,Previene el robo de objetos.,Impedisce il furto di oggetti.,
23,14,10,Iron Skin,Eisenhaut,Peau d'acier,Piel de hierro,Pelle di ferro,,Negates the effects of Defense Down.,"Hebt die Wirkung von ""Verteidigung -"" auf.",Annule les effets de Défense -.,Anula los efectos de defensa reducida.,Annulla gli effetti di difesa-.,
24,15,10,Antivirus,Antivirus,Antivirus,Antivirus,Antivirus,,Makes it harder to become Frenzied and enhances recovery.,"Erschwert es, in Raserei zu verfallen und steigert Erholung.",Réduit les risques d'être en proie à la furie et améliore la récupération.,Dificulta entrar en estado colérico y potencia la recuperación.,Riduce la probabilità di contrarre la frenesia e accelera il recupero.,
25,16,15,Bio Master,Bio-Meister,Docteur bio,Biólogo,Biologo,,"Increases Dung Bomb efficacy, prevents Stench and Blastblight, and delays Virus onset.","Steigert Wirksamkeit von Dung- bomben, verhindert Gestank und Sprengschaden, verzögert Virus.",Augmente l'efficacité des bouses. Annule puanteur/fléau-explosion et retarde les effets du virus.,"Aumenta la eficacia de las bombas boñiga, y protege del hedor, la plaga de nitro y la cólera.","Potenzia la bomba-letame, annulla fetore e danni da scoppio, ritarda il virus.",
